"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2017_E_3_20_24","2017","FEN","core_3","2017_E_3_20_24","20_24","E","15.6","5.9","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2017_E_3_30_34","2017","FEN","core_3","2017_E_3_30_34","30_34","E","15.2","6","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2018_P1_1_5","2018","PALSA","core_1","2018_P_1_1_5","1_5","P","15.5","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_10_14","2018","PALSA","core_1","2018_P_1_10_14","10_14","P","13.6","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_20_24","2018","PALSA","core_1","2018_P_1_20_24","20_24","P","11.9","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_30_34","2018","PALSA","core_1","2018_P_1_30_34","30_34","P","9.9","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_40_44","2018","PALSA","core_1","2018_P_1_40_44","40_44","P","8.3","","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_50_54","2018","PALSA","core_1","2018_P_1_50_54","50_54","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_60_64","2018","PALSA","core_1","2018_P_1_60_64","60_64","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_70_74","2018","PALSA","core_1","2018_P_1_70_74","70_74","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P2_1_5","2018","PALSA","core_2","2018_P_2_1_5","1_5","P","16.2","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_10_14","2018","PALSA","core_2","2018_P_2_10_14","10_14","P","13.1","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_20_24","2018","PALSA","core_2","2018_P_2_20_24","20_24","P","10.8","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_30_34","2018","PALSA","core_2","2018_P_2_30_34","30_34","P","9.5","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_40_44","2018","PALSA","core_2","2018_P_2_40_44","40_44","P","8.3","","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_50_54","2018","PALSA","core_2","2018_P_2_50_54","50_54","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_60_64","2018","PALSA","core_2","2018_P_2_60_64","60_64","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_70_74","2018","PALSA","core_2","2018_P_2_70_74","70_74","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_80_84","2018","PALSA","core_2","2018_P_2_80_84","80_84","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P3_1_5","2018","PALSA","core_3","2018_P_3_1_5","1_5","P","14.6","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_10_14","2018","PALSA","core_3","2018_P_3_10_14","10_14","P","11.2","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_20_24","2018","PALSA","core_3","2018_P_3_20_24","20_24","P","9","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_30_34","2018","PALSA","core_3","2018_P_3_30_34","30_34","P","7","","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_40_44","2018","PALSA","core_3","2018_P_3_40_44","40_44","P","5.6","","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_50_54","2018","PALSA","core_3","2018_P_3_50_54","50_54","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_60_64","2018","PALSA","core_3","2018_P_3_60_64","60_64","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_70_74","2018","PALSA","core_3","2018_P_3_70_74","70_74","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_S1_1_5","2018","BOG","core_1","2018_S_1_1_5","1_5","S","19","no porewater","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S1_10_14","2018","BOG","core_1","2018_S_1_10_14","10_14","S","15.9","pore gas","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S1_20_24","2018","BOG","core_1","2018_S_1_20_24","20_24","S","13.8","4.6","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S1_30_34","2018","BOG","core_1","2018_S_1_30_34","30_34","S","11.9","4.2","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S1_40_44","2018","BOG","core_1","2018_S_1_40_44","40_44","S","10.1","","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S1_50_54","2018","BOG","core_1","2018_S_1_50_54","50_54","S",NA,"","N 68 21.1991, E 19 02.8478","Sphagnum Autochamber Site","Bog","-39.0","44.0"
"2018_S2_1_5","2018","BOG","core_2","2018_S_2_1_5","1_5","S","24","no porewater","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S2_10_14","2018","BOG","core_2","2018_S_2_10_14","10_14","S","19.4","pore gas","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S2_20_24","2018","BOG","core_2","2018_S_2_20_24","20_24","S","16.7","4","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S2_30_34","2018","BOG","core_2","2018_S_2_30_34","30_34","S","14.6","4","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S2_50_54","2018","BOG","core_2","2018_S_2_50_54","50_54","S",NA,"","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S2_60_64","2018","BOG","core_2","2018_S_2_60_64","60_64","S",NA,"","N 68 21.1965, E 19 02.8506","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_1_5","2018","BOG","core_3","2018_S_3_1_5","1_5","S","17.8","no pw","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_10_14","2018","BOG","core_3","2018_S_3_10_14","10_14","S","15.6","pore gas","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_20_24","2018","BOG","core_3","2018_S_3_20_24","20_24","S","13","4.2","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_30_34","2018","BOG","core_3","2018_S_3_30_34","30_34","S","10.8","4.3","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_40_44","2018","BOG","core_3","2018_S_3_40_44","40_44","S","8.9","no pw","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_50_54","2018","BOG","core_3","2018_S_3_50_54","50_54","S",NA,"","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_S3_60_64","2018","BOG","core_3","2018_S_3_60_64","60_64","S",NA,"","N 68 21. 1975, E 19 02.8528","Sphagnum Autochamber Site","Bog","Not Measured","49.0"
"2018_E1_1_5","2018","FEN","core_1","2018_E_1_1_5","1_5","E","19.2","5.8","N 68 21.2005, E 19 02.8056","Eriophorum Autochamber Site","Fen","6.5","Below Detection (>100)"
"2018_E1_10_14","2018","FEN","core_1","2018_E_1_10_14","10_14","E","18.1","5.6","N 68 21.2005, E 19 02.8056","Eriophorum Autochamber Site","Fen","6.5","Below Detection (>100)"
"2018_E1_20_24","2018","FEN","core_1","2018_E_1_20_24","20_24","E","16.7","5.6","N 68 21.2005, E 19 02.8056","Eriophorum Autochamber Site","Fen","6.5","Below Detection (>100)"
"2018_E1_30_34","2018","FEN","core_1","2018_E_1_30_34","30_34","E","15.6","5.5","N 68 21.2005, E 19 02.8056","Eriophorum Autochamber Site","Fen","6.5","Below Detection (>100)"
"2018_E2_1_5","2018","FEN","core_2","2018_E_2_1_5","1_5","E","21","5.7","N 68 21.2009, E 19 02.8051","Eriophorum Autochamber Site","Fen","8.0","Below Detection (>100)"
"2018_E2_10_14","2018","FEN","core_2","2018_E_2_10_14","10_14","E","20.4","5.5","N 68 21.2009, E 19 02.8051","Eriophorum Autochamber Site","Fen","8.0","Below Detection (>100)"
"2018_E2_20_24","2018","FEN","core_2","2018_E_2_20_24","20_24","E","19.8","5.5","N 68 21.2009, E 19 02.8051","Eriophorum Autochamber Site","Fen","8.0","Below Detection (>100)"
"2018_E2_30_34","2018","FEN","core_2","2018_E_2_30_34","30_34","E","19.7","5.5","N 68 21.2009, E 19 02.8051","Eriophorum Autochamber Site","Fen","8.0","Below Detection (>100)"
"2018_E3_1_5","2018","FEN","core_3","2018_E_3_1_5","1_5","E","20.4","4.9","N 68 21.1957, E 19 02.8178","Eriophorum Autochamber Site","Fen","6.0","Below Detection (>100)"
"2018_E3_10_14","2018","FEN","core_3","2018_E_3_10_14","10_14","E","18.6","5.2","N 68 21.1957, E 19 02.8178","Eriophorum Autochamber Site","Fen","6.0","Below Detection (>100)"
"2018_E3_20_24","2018","FEN","core_3","2018_E_3_20_24","20_24","E","17.6","5.5","N 68 21.1957, E 19 02.8178","Eriophorum Autochamber Site","Fen","6.0","Below Detection (>100)"
"2018_E3_30_34","2018","FEN","core_3","2018_E_3_30_34","30_34","E","16.5","5.5","N 68 21.1957, E 19 02.8178","Eriophorum Autochamber Site","Fen","6.0","Below Detection (>100)"
"2019_P1_1_5","2019","PALSA","core_1","2019_P_1_1_5","1_5","P","10.9",NA,"N 68 21.2017, E 19 02.8279","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2019_P1_10_14","2019","PALSA","core_1","2019_P_1_10_14","10_14","P","7.6",NA,"N 68 21.2017, E 19 02.8279","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2019_P1_20_24","2019","PALSA","core_1","2019_P_1_20_24","20_24","P","3.7",NA,"N 68 21.2017, E 19 02.8279","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2019_P1_30_34","2019","PALSA","core_1","2019_P_1_30_34","30_34","P","1.3","4.3","N 68 21.2017, E 19 02.8279","Palsa Autochamber Site","Palsa","Not Measured","35.0"
"2019_P2_1_5","2019","PALSA","core_2","2019_P_2_1_5","1_5","P","13.1",NA,"N 68 21.2070, E 19 02.8341","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2019_P2_10_14","2019","PALSA","core_2","2019_P_2_10_14","10_14","P","8.1",NA,"N 68 21.2070, E 19 02.8341","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2019_P2_20_24","2019","PALSA","core_2","2019_P_2_20_24","20_24","P","4.7",NA,"N 68 21.2070, E 19 02.8341","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2019_P2_30_34","2019","PALSA","core_2","2019_P_2_30_34","30_34","P","1.9","3.8","N 68 21.2070, E 19 02.8341","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2019_P3_1_5","2019","PALSA","core_3","2019_P_3_1_5","1_5","P","14.5",NA,"N 68 21.2106, E 19 02.8401","Palsa Autochamber Site","Palsa","Not Measured","34.0"
"2019_P3_10_14","2019","PALSA","core_3","2019_P_3_10_14","10_14","P","9.2",NA,"N 68 21.2106, E 19 02.8401","Palsa Autochamber Site","Palsa","Not Measured","34.0"
"2019_P3_20_24","2019","PALSA","core_3","2019_P_3_20_24","20_24","P","3.9",NA,"N 68 21.2106, E 19 02.8401","Palsa Autochamber Site","Palsa","Not Measured","34.0"
"2019_P3_30_34","2019","PALSA","core_3","2019_P_3_30_34","30_34","P","1",NA,"N 68 21.2106, E 19 02.8401","Palsa Autochamber Site","Palsa","Not Measured","34.0"
"2019_S1_1_5","2019","BOG","core_1","2019_S_1_1_5","1_5","S","16.2",NA,"N 68 21.1972, E 19 02.8475","Sphagnum Autochamber Site","Bog","-18.0","100.0"
"2019_S1_10_14","2019","BOG","core_1","2019_S_1_10_14","10_14","S","3.6",NA,"N 68 21.1972, E 19 02.8475","Sphagnum Autochamber Site","Bog","-18.0","100.0"
"2019_S1_20_24","2019","BOG","core_1","2019_S_1_20_24","20_24","S","-0.2","3.4","N 68 21.1972, E 19 02.8475","Sphagnum Autochamber Site","Bog","-18.0","100.0"
"2019_S1_30_34","2019","BOG","core_1","2019_S_1_30_34","30_34","S","-2.1","3.5","N 68 21.1972, E 19 02.8475","Sphagnum Autochamber Site","Bog","-18.0","100.0"
"2019_S2_1_5","2019","BOG","core_2","2019_S_2_1_5","1_5","S","15.1","3.5","N 68 21.1955, E 19 02.8473","Sphagnum Autochamber Site","Bog","-20.0","75.0"
"2019_S2_10_14","2019","BOG","core_2","2019_S_2_10_14","10_14","S","2.8",NA,"N 68 21.1955, E 19 02.8473","Sphagnum Autochamber Site","Bog","-20.0","75.0"
"2019_S2_20_24","2019","BOG","core_2","2019_S_2_20_24","20_24","S","0.1","3.8","N 68 21.1955, E 19 02.8473","Sphagnum Autochamber Site","Bog","-20.0","75.0"
"2019_S2_30_34","2019","BOG","core_2","2019_S_2_30_34","30_34","S","-2.1","3.8","N 68 21.1955, E 19 02.8473","Sphagnum Autochamber Site","Bog","-20.0","75.0"
"2019_S2_40_44","2019","BOG","core_2","2019_S_2_40_44","40_44","S","-3.9","3.8","N 68 21.1955, E 19 02.8473","Sphagnum Autochamber Site","Bog","-20.0","75.0"
"2019_S3_1_5","2019","BOG","core_3","2019_S_3_1_5","1_5","S","13.9",NA,"N 68 21.1975, E 19 02.8539","Sphagnum Autochamber Site","Bog","-19.0","100.0"
"2019_S3_10_14","2019","BOG","core_3","2019_S_3_10_14","10_14","S","3.9","3.6","N 68 21.1975, E 19 02.8539","Sphagnum Autochamber Site","Bog","-19.0","100.0"
"2019_S3_20_24","2019","BOG","core_3","2019_S_3_20_24","20_24","S","2","3.6","N 68 21.1975, E 19 02.8539","Sphagnum Autochamber Site","Bog","-19.0","100.0"
"2019_S3_30_34","2019","BOG","core_3","2019_S_3_30_34","30_34","S","0.1","3.7","N 68 21.1975, E 19 02.8539","Sphagnum Autochamber Site","Bog","-19.0","100.0"
"2019_E1_1_5","2019","FEN","core_1","2019_E_1_1_5","1_5","E","20.8","4.5","N 68 21.2664, E 19 02.7538","Eriophorum Autochamber Site","Fen","-18.0 or 18.0, pending resolving of unknown sign convention","100.0"
"2019_E1_10_14","2019","FEN","core_1","2019_E_1_10_14","10_14","E","12.8","4.1","N 68 21.2664, E 19 02.7538","Eriophorum Autochamber Site","Fen","-18.0 or 18.0, pending resolving of unknown sign convention","100.0"
"2019_E1_20_24","2019","FEN","core_1","2019_E_1_20_24","20_24","E","11.3","3.8","N 68 21.2664, E 19 02.7538","Eriophorum Autochamber Site","Fen","-18.0 or 18.0, pending resolving of unknown sign convention","100.0"
"2019_E1_30_34","2019","FEN","core_1","2019_E_1_30_34","30_34","E","10.5","3.9","N 68 21.2664, E 19 02.7538","Eriophorum Autochamber Site","Fen","-18.0 or 18.0, pending resolving of unknown sign convention","100.0"
"2019_E2_1_5","2019","FEN","core_2","2019_E_2_1_5","1_5","E","8.6","4.8","N 68 21.2088, E 19 02.8071","Eriophorum Autochamber Site","Fen","1.0 or -1.0, pending resolving of unknown sign convention","100.0"
"2019_E2_10_14","2019","FEN","core_2","2019_E_2_10_14","10_14","E","6.3","4.6","N 68 21.2088, E 19 02.8071","Eriophorum Autochamber Site","Fen","1.0 or -1.0, pending resolving of unknown sign convention","100.0"
"2019_E2_20_24","2019","FEN","core_2","2019_E_2_20_24","20_24","E","6","5.2","N 68 21.2088, E 19 02.8071","Eriophorum Autochamber Site","Fen","1.0 or -1.0, pending resolving of unknown sign convention","100.0"
"2019_E3_1_5","2019","FEN","core_3","2019_E_3_1_5","1_5","E","7.7","5.7","N 68 21.2023, E 19 02.8014","Eriophorum Autochamber Site","Fen","2.0 or -2.0, pending resolving of unknown sign convention","100.0"
"2019_E3_10_14","2019","FEN","core_3","2019_E_3_10_14","10_14","E","3.8","5.7","N 68 21.2023, E 19 02.8014","Eriophorum Autochamber Site","Fen","2.0 or -2.0, pending resolving of unknown sign convention","100.0"
"2019_E3_20_24","2019","FEN","core_3","2019_E_3_20_24","20_24","E","2.4","5.4","N 68 21.2023, E 19 02.8014","Eriophorum Autochamber Site","Fen","2.0 or -2.0, pending resolving of unknown sign convention","100.0"
"2019_E3_30_34","2019","FEN","core_3","2019_E_3_30_34","30_34","E","1.2","5.5","N 68 21.2023, E 19 02.8014","Eriophorum Autochamber Site","Fen","2.0 or -2.0, pending resolving of unknown sign convention","100.0"
"2019_E3_40_44","2019","FEN","core_3","2019_E_3_40_44","40_44","E","0.1","5.3","N 68 21.2023, E 19 02.8014","Eriophorum Autochamber Site","Fen","2.0 or -2.0, pending resolving of unknown sign convention","100.0"
"2020_P1_1_5","2020","PALSA","core_1","2020_P_1_1_5","1_5","P","13.8",NA,"N 68 21.200661, E 19 02.8252494","Palsa Autochamber Site","Palsa","-22.1","Below Detection (>100)"
"2020_P1_10_14","2020","PALSA","core_1","2020_P_1_10_14","10_14","P","6.1",NA,"N 68 21.200661, E 19 02.8252494","Palsa Autochamber Site","Palsa","-22.1","Below Detection (>100)"
"2020_P1_20_24","2020","PALSA","core_1","2020_P_1_20_24","20_24","P","2.1",NA,"N 68 21.200661, E 19 02.8252494","Palsa Autochamber Site","Palsa","-22.1","Below Detection (>100)"
"2020_P1_30_34","2020","PALSA","core_1","2020_P_1_30_34","30_34","P","0","3.85","N 68 21.200661, E 19 02.8252494","Palsa Autochamber Site","Palsa","-22.1","Below Detection (>100)"
"2020_P2_1_5","2020","PALSA","core_2","2020_P_2_1_5","1_5","P","7.5",NA,"N 68 21.2111958, E 19 02.841954","Palsa Autochamber Site","Palsa","-31","35.5"
"2020_P2_10_14","2020","PALSA","core_2","2020_P_2_10_14","10_14","P","2.3",NA,"N 68 21.2111958, E 19 02.841954","Palsa Autochamber Site","Palsa","-31","35.5"
"2020_P2_20_24","2020","PALSA","core_2","2020_P_2_20_24","20_24","P","-3.2",NA,"N 68 21.2111958, E 19 02.841954","Palsa Autochamber Site","Palsa","-31","35.5"
"2020_P3_1_5","2020","PALSA","core_3","2020_P_3_1_5","1_5","P","9.6",NA,"N 68 21.2120568, E 19 02.8403118","Palsa Autochamber Site","Palsa","-25.3","39.0"
"2020_P3_10_14","2020","PALSA","core_3","2020_P_3_10_14","10_14","P","1.5",NA,"N 68 21.2120568, E 19 02.8403118","Palsa Autochamber Site","Palsa","-25.3","39.0"
"2020_P3_20_24","2020","PALSA","core_3","2020_P_3_20_24","20_24","P","-3.6",NA,"N 68 21.2120568, E 19 02.8403118","Palsa Autochamber Site","Palsa","-25.3","39.0"
"2020_P3_30_34","2020","PALSA","core_3","2020_P_3_30_34","30_34","P","-6.9","4.19","N 68 21.2120568, E 19 02.8403118","Palsa Autochamber Site","Palsa","-25.3","39.0"
"2020_S1_1_5","2020","BOG","core_1","2020_S_1_1_5","1_5","S","9.7",NA,"N 68 21.197625, E 19 02.854842","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S1_10_14","2020","BOG","core_1","2020_S_1_10_14","10_14","S","7.9","3.93","N 68 21.197625, E 19 02.854842","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S1_20_24","2020","BOG","core_1","2020_S_1_20_24","20_24","S","7.1","4.02","N 68 21.197625, E 19 02.854842","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S1_30_34","2020","BOG","core_1","2020_S_1_30_34","30_34","S","5.7","4.05","N 68 21.197625, E 19 02.854842","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S2_1_5","2020","BOG","core_2","2020_S_2_1_5","1_5","S","12",NA,"N 68 21.1966782, E 19 02.8549452","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S2_10_14","2020","BOG","core_2","2020_S_2_10_14","10_14","S","6.1","3.19","N 68 21.1966782, E 19 02.8549452","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S2_20_24","2020","BOG","core_2","2020_S_2_20_24","20_24","S","4.4","3.95","N 68 21.1966782, E 19 02.8549452","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S2_30_34","2020","BOG","core_2","2020_S_2_30_34","30_34","S","2.9","3.99","N 68 21.1966782, E 19 02.8549452","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
"2020_S3_1_5","2020","BOG","core_3","2020_S_3_1_5","1_5","S","7",NA,"N 68 21.1958994, E 19 02.8483068","Sphagnum Autochamber Site","Bog","-7","Below Detection (>100)"
